REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
R1,PWRCCGNPLXX00,GASINT,2,2066,2.55
R1,PWRCCGNPLXX00,GASINT,2,2067,2.55
R1,PWRCCGNPLXX00,GASINT,2,2068,2.55
R1,PWRCCGNPLXX00,GASINT,2,2069,2.55
R1,PWRCCGNPLXX00,GASINT,2,2070,2.55
R1,PWROCGNPLXX00,GASNPL,1,2020,2.99
R1,PWROCGNPLXX00,GASNPL,1,2021,2.99
R1,PWROCGNPLXX00,GASNPL,1,2022,2.99
R1,PWROCGNPLXX00,GASNPL,1,2023,2.99
R1,PWROCGNPLXX00,GASNPL,1,2024,2.99
R1,PWROCGNPLXX00,GASNPL,1,2025,2.99
R1,PWROCGNPLXX00,GASNPL,1,2026,2.99
R1,PWROCGNPLXX00,GASNPL,1,2027,2.99
R1,PWROCGNPLXX00,GASNPL,1,2028,2.99
R1,PWROCGNPLXX00,GASNPL,1,2029,2.99
R1,PWROCGNPLXX00,GASNPL,1,2030,2.99
R1,PWROCGNPLXX00,GASNPL,1,2031,2.99
R1,PWROCGNPLXX00,GASNPL,1,2032,2.99
R1,PWROCGNPLXX00,GASNPL,1,2033,2.99
R1,PWROCGNPLXX00,GASNPL,1,2034,2.99
R1,PWROCGNPLXX00,GASNPL,1,2035,2.99
R1,PWROCGNPLXX00,GASNPL,1,2036,2.99
R1,PWROCGNPLXX00,GASNPL,1,2037,2.99
R1,PWROCGNPLXX00,GASNPL,1,2038,2.99
R1,PWROCGNPLXX00,GASNPL,1,2039,2.99
R1,PWROCGNPLXX00,GASNPL,1,2040,2.99
R1,PWROCGNPLXX00,GASNPL,1,2041,2.99
R1,PWROCGNPLXX00,GASNPL,1,2042,2.99
R1,PWROCGNPLXX00,GASNPL,1,2043,2.99
R1,PWROCGNPLXX00,GASNPL,1,2044,2.99
R1,PWROCGNPLXX00,GASNPL,1,2045,2.99
R1,PWROCGNPLXX00,GASNPL,1,2046,2.99
R1,PWROCGNPLXX00,GASNPL,1,2047,2.99
R1,PWROCGNPLXX00,GASNPL,1,2048,2.99
R1,PWROCGNPLXX00,GASNPL,1,2049,2.99
R1,PWROCGNPLXX00,GASNPL,1,2050,2.99
R1,PWROCGNPLXX00,GASNPL,1,2051,2.99
R1,PWROCGNPLXX00,GASNPL,1,2052,2.99
R1,PWROCGNPLXX00,GASNPL,1,2053,2.99
R1,PWROCGNPLXX00,GASNPL,1,2054,2.99
R1,PWROCGNPLXX00,GASNPL,1,2055,2.99
R1,PWROCGNPLXX00,GASNPL,1,2056,2.99
R1,PWROCGNPLXX00,GASNPL,1,2057,2.99
R1,PWROCGNPLXX00,GASNPL,1,2058,2.99
R1,PWROCGNPLXX00,GASNPL,1,2059,2.99
R1,PWROCGNPLXX00,GASNPL,1,2060,2.99
R1,PWROCGNPLXX00,GASNPL,1,2061,2.99
R1,PWROCGNPLXX00,GASNPL,1,2062,2.99
R1,PWROCGNPLXX00,GASNPL,1,2063,2.99
R1,PWROCGNPLXX00,GASNPL,1,2064,2.99
R1,PWROCGNPLXX00,GASNPL,1,2065,2.99
R1,PWROCGNPLXX00,GASNPL,1,2066,2.99
R1,PWROCGNPLXX00,GASNPL,1,2067,2.99
R1,PWROCGNPLXX00,GASNPL,1,2068,2.99
R1,PWROCGNPLXX00,GASNPL,1,2069,2.99
R1,PWROCGNPLXX00,GASNPL,1,2070,2.99
R1,PWROCGNPLXX00,GASINT,2,2020,2.99
R1,PWROCGNPLXX00,GASINT,2,2021,2.99
R1,PWROCGNPLXX00,GASINT,2,2022,2.99
R1,PWROCGNPLXX00,GASINT,2,2023,2.99
R1,PWROCGNPLXX00,GASINT,2,2024,2.99
R1,PWROCGNPLXX00,GASINT,2,2025,2.99
R1,PWROCGNPLXX00,GASINT,2,2026,2.99
R1,PWROCGNPLXX00,GASINT,2,2027,2.99
R1,PWROCGNPLXX00,GASINT,2,2028,2.99
R1,PWROCGNPLXX00,GASINT,2,2029,2.99
R1,PWROCGNPLXX00,GASINT,2,2030,2.99
R1,PWROCGNPLXX00,GASINT,2,2031,2.99
R1,PWROCGNPLXX00,GASINT,2,2032,2.99
R1,PWROCGNPLXX00,GASINT,2,2033,2.99
R1,PWROCGNPLXX00,GASINT,2,2034,2.99
R1,PWROCGNPLXX00,GASINT,2,2035,2.99
R1,PWROCGNPLXX00,GASINT,2,2036,2.99
R1,PWROCGNPLXX00,GASINT,2,2037,2.99
R1,PWROCGNPLXX00,GASINT,2,2038,2.99
R1,PWROCGNPLXX00,GASINT,2,2039,2.99
R1,PWROCGNPLXX00,GASINT,2,2040,2.99
R1,PWROCGNPLXX00,GASINT,2,2041,2.99
R1,PWROCGNPLXX00,GASINT,2,2042,2.99
R1,PWROCGNPLXX00,GASINT,2,2043,2.99
R1,PWROCGNPLXX00,GASINT,2,2044,2.99
R1,PWROCGNPLXX00,GASINT,2,2045,2.99
R1,PWROCGNPLXX00,GASINT,2,2046,2.99
R1,PWROCGNPLXX00,GASINT,2,2047,2.99
R1,PWROCGNPLXX00,GASINT,2,2048,2.99
R1,PWROCGNPLXX00,GASINT,2,2049,2.99
R1,PWROCGNPLXX00,GASINT,2,2050,2.99
R1,PWROCGNPLXX00,GASINT,2,2051,2.99
R1,PWROCGNPLXX00,GASINT,2,2052,2.99
R1,PWROCGNPLXX00,GASINT,2,2053,2.99
R1,PWROCGNPLXX00,GASINT,2,2054,2.99
R1,PWROCGNPLXX00,GASINT,2,2055,2.99
R1,PWROCGNPLXX00,GASINT,2,2056,2.99
R1,PWROCGNPLXX00,GASINT,2,2057,2.99
R1,PWROCGNPLXX00,GASINT,2,2058,2.99
R1,PWROCGNPLXX00,GASINT,2,2059,2.99
R1,PWROCGNPLXX00,GASINT,2,2060,2.99
R1,PWROCGNPLXX00,GASINT,2,2061,2.99
R1,PWROCGNPLXX00,GASINT,2,2062,2.99
R1,PWROCGNPLXX00,GASINT,2,2063,2.99
R1,PWROCGNPLXX00,GASINT,2,2064,2.99
R1,PWROCGNPLXX00,GASINT,2,2065,2.99
R1,PWROCGNPLXX00,GASINT,2,2066,2.99
R1,PWROCGNPLXX00,GASINT,2,2067,2.99
R1,PWROCGNPLXX00,GASINT,2,2068,2.99
R1,PWROCGNPLXX00,GASINT,2,2069,2.99
R1,PWROCGNPLXX00,GASINT,2,2070,2.99
R1,PWRHYDNPLXX01,HYDNPLXX,1,2020,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2021,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2022,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2023,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2024,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2025,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2026,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2027,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2028,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2029,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2030,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2031,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2032,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2033,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2034,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2035,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2036,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2037,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2038,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2039,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2040,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2041,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2042,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2043,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2044,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2045,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2046,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2047,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2048,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2049,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2050,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2051,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2052,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2053,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2054,1
R1,PWRHYDNPLXX01,HYDNPLXX,1,2055,1
